epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2289,1.40823,3.44799,1.11755,0.0034,0.98318,0.24706,0.15838,1.11594,3.56722,0.97476,0.00041675,0.00041675,0.00041675
2,119.371,1.23495,1.91534,1.07767,0.06878,0.15093,0.06812,0.04201,1.17335,3.27661,1.0874,0.000821859,0.000821859,0.000821859
3,177.254,1.2355,1.61952,1.07785,0.968,0.15709,0.83175,0.49273,1.2272,2.62691,1.26757,0.0011981,0.0011981,0.0011981
4,234.917,1.25323,1.43888,1.1106,0.93474,0.46352,0.73155,0.44757,1.34879,2.2461,1.31564,0.00150047,0.00150047,0.00150047
5,291.754,1.19404,1.24174,1.0879,0.89245,0.75788,0.89473,0.55998,1.23195,1.72725,1.18225,0.00144496,0.00144496,0.00144496
6,345.802,1.15827,1.10297,1.06546,0.75388,0.78045,0.93246,0.59735,1.19866,1.36744,1.1215,0.00138944,0.00138944,0.00138944
7,408.171,1.15262,0.99928,1.05853,0.89903,0.96354,0.9516,0.64408,1.09866,0.83233,1.08058,0.00133393,0.00133393,0.00133393
8,470.19,1.1769,0.88806,1.06364,0.94433,0.9292,0.97647,0.61133,1.19525,0.77212,1.11415,0.00127842,0.00127842,0.00127842
9,527.2,1.12094,0.82159,1.03305,0.98006,0.99275,0.98673,0.62431,1.16821,0.68024,1.09796,0.00122291,0.00122291,0.00122291
10,581.47,1.12552,0.78948,1.04422,0.9555,0.94857,0.98302,0.64651,1.13663,0.70036,1.05965,0.0011674,0.0011674,0.0011674
11,635.241,1.11333,0.74654,1.04238,0.9694,0.97891,0.98396,0.62771,1.18502,0.66875,1.11776,0.00111189,0.00111189,0.00111189
12,688.785,1.09157,0.71412,1.02415,0.95392,0.97507,0.98984,0.70004,1.02358,0.60845,1.0094,0.00105638,0.00105638,0.00105638
13,742.468,1.06795,0.68097,1.01356,0.97841,0.98408,0.98535,0.69373,1.03811,0.58297,1.01711,0.00100087,0.00100087,0.00100087
14,798.312,1.07514,0.65931,1.01079,0.98929,0.99067,0.98993,0.70021,1.02589,0.55467,1.00698,0.000945356,0.000945356,0.000945356
15,859.281,1.06834,0.63772,0.99325,0.98371,0.98658,0.98983,0.66774,1.09818,0.57101,1.04325,0.000889845,0.000889845,0.000889845
16,923.521,1.06609,0.61721,1.00704,0.98624,0.99456,0.98963,0.72914,0.98147,0.51727,0.98315,0.000834333,0.000834333,0.000834333
17,987.027,1.05204,0.60773,1.00803,0.98379,0.99442,0.99002,0.70598,1.03939,0.51529,1.00733,0.000778822,0.000778822,0.000778822
18,1048.25,0.99008,0.57229,0.97935,0.98628,0.99546,0.99104,0.72847,0.98562,0.48708,0.98783,0.000723311,0.000723311,0.000723311
19,1109.13,0.99887,0.57866,0.99967,0.99053,0.99584,0.99216,0.74531,0.95027,0.46879,0.96755,0.0006678,0.0006678,0.0006678
20,1167.89,0.98296,0.55181,0.97698,0.98571,0.98503,0.99074,0.74204,0.96155,0.47145,0.977,0.000612289,0.000612289,0.000612289
21,1274.21,0.97125,0.52424,0.97564,0.99005,0.9973,0.99183,0.74552,0.94539,0.46272,0.96712,0.000556778,0.000556778,0.000556778
22,1336.06,0.95408,0.50821,0.97377,0.98955,0.98942,0.99104,0.75054,0.9198,0.45601,0.95788,0.000501267,0.000501267,0.000501267
23,1398.37,0.93787,0.48959,0.96255,0.98317,0.99694,0.9894,0.72759,1.00212,0.47185,0.98957,0.000445756,0.000445756,0.000445756
24,1464.26,0.91974,0.479,0.96345,0.98555,0.9973,0.99021,0.76273,0.91296,0.44684,0.95236,0.000390245,0.000390245,0.000390245
25,1525.09,0.90072,0.46863,0.95751,0.98912,0.99689,0.9913,0.75965,0.93284,0.44647,0.95974,0.000334734,0.000334734,0.000334734
26,1588.87,0.90078,0.46067,0.95558,0.9851,0.99259,0.99104,0.75125,0.94176,0.44304,0.96627,0.000279222,0.000279222,0.000279222
27,1654.45,0.88631,0.45147,0.94993,0.98571,0.99564,0.99074,0.77491,0.89758,0.42229,0.94403,0.000223711,0.000223711,0.000223711
28,1718.41,0.86946,0.4329,0.93949,0.99109,0.99564,0.99119,0.77017,0.91156,0.41744,0.94923,0.0001682,0.0001682,0.0001682
29,1781.49,0.85892,0.42667,0.93668,0.98606,0.99466,0.99182,0.77028,0.91055,0.41568,0.95062,0.000112689,0.000112689,0.000112689
30,1844.81,0.83984,0.41501,0.92999,0.98791,0.99493,0.99157,0.77606,0.90056,0.4071,0.94641,5.71781e-05,5.71781e-05,5.71781e-05
